q_count,delta
10,0.7617858648300171
11,0.8758097887039185
12,0.7862887382507324
13,0.7522608041763306
14,0.8264960050582886
15,0.8398612141609192
16,0.8015559315681458
17,0.8112707734107971
18,0.7600796222686768
19,0.7631104588508606
20,0.7991487979888916
21,0.7695014476776123
22,0.7494177222251892
23,0.7674074769020081
24,0.7710146903991699
25,0.7488296031951904
26,0.7507523894309998
27,0.7669318914413452
28,0.761496901512146
29,0.7644602656364441
30,0.7460013031959534
31,0.7047392725944519
32,0.723449170589447
33,0.7567107081413269
34,0.7535300850868225
35,0.7750104665756226
36,0.753990888595581
37,0.6932324767112732
38,0.7140486240386963
39,0.7193336486816406
40,0.6742835640907288
41,0.7245585918426514
42,0.7135865092277527
43,0.671550989151001
44,0.666508138179779
45,0.6891583204269409
46,0.6657834649085999
47,0.6874585151672363
48,0.668866753578186
49,0.6737949252128601
50,0.6691642999649048
51,0.6470015048980713
52,0.670157790184021
53,0.647517204284668
54,0.6552727222442627
55,0.6531240344047546
56,0.6230541467666626
57,0.6331160664558411
58,0.6437962055206299
59,0.6169396042823792
60,0.6331192851066589
61,0.6291704177856445
62,0.6071017980575562
63,0.610680103302002
64,0.6159883737564087
65,0.6001189947128296
66,0.6126989126205444
67,0.618511974811554
68,0.5886172652244568
69,0.5937346816062927
70,0.6001574397087097
71,0.6062049269676208
72,0.6081092953681946
