q_count,delta
10,0.5682665109634399
11,0.5494478940963745
12,0.5091705918312073
13,0.534771203994751
14,0.5825797915458679
15,0.5701801180839539
16,0.5596081614494324
17,0.5994865894317627
18,0.6096872687339783
19,0.5967891812324524
20,0.6059653162956238
21,0.6135638952255249
22,0.6314634084701538
23,0.6134458780288696
24,0.6723664402961731
25,0.5886688828468323
26,0.6012459993362427
27,0.6189292669296265
28,0.6192071437835693
29,0.6095057129859924
30,0.5895172953605652
31,0.6317511796951294
32,0.6511140465736389
33,0.6217067241668701
34,0.639959990978241
35,0.6601253151893616
36,0.6294479966163635
37,0.6460625529289246
38,0.5915550589561462
39,0.6656398177146912
40,0.6273688673973083
41,0.6472170352935791
42,0.6465415954589844
43,0.6060689091682434
44,0.6696344017982483
45,0.6494147777557373
46,0.6336562037467957
47,0.6276207566261292
48,0.6411836743354797
49,0.6248390078544617
50,0.6181166172027588
51,0.616526186466217
52,0.6306490898132324
53,0.6334823369979858
54,0.6316587328910828
55,0.637367844581604
56,0.6424596309661865
57,0.637607991695404
58,0.6286277174949646
59,0.6355090737342834
60,0.6420419812202454
61,0.6212922930717468
62,0.6326614022254944
63,0.6431634426116943
64,0.664071261882782
65,0.6627243757247925
66,0.6612944006919861
67,0.644785463809967
68,0.6265719532966614
69,0.6612314581871033
70,0.6276010274887085
71,0.681501567363739
72,0.678730845451355
